City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Rikitea,PF,73.09,clear sky,-23.1203,-134.9692,People ThankYou
4,Mayumba,GA,76.46,overcast clouds,-3.432,10.6554,LIKWALE LODGE
5,San Patricio,US,78.89,moderate rain,28.017,-97.5169,"Motel 6 Sinton, TX"
9,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Namibe,AO,64.69,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
11,East London,ZA,63.54,light rain,-33.0153,27.9116,Tu Casa
14,Half Moon Bay,US,80.92,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
15,Faanui,PF,79.12,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
17,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
18,Melilla,ES,77.2,few clouds,35.2937,-2.9383,Hotel Nacional
20,Alice Springs,AU,62.15,clear sky,-23.7,133.8833,Desert Palms Alice Springs
22,Sal Rei,CV,84.4,few clouds,16.1833,-22.9167,Marine Club Beach Resort
24,Victoria,HK,85.96,light rain,22.2855,114.1577,Mini Hotel Central
25,Ishigaki,JP,81.64,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
26,Matay,EG,82.36,clear sky,28.419,30.7792,Nag Aespen
27,Mar Del Plata,AR,62.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
28,Atuona,PF,78.06,broken clouds,-9.8,-139.0333,Villa Enata
29,Port Alfred,ZA,64.8,light rain,-33.5906,26.891,The Halyards Hotel
31,Lagoa,PT,71.4,broken clouds,39.05,-27.9833,Casa Das Faias
32,Vaini,TO,73.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
33,Libertador General San Martin,AR,87.53,broken clouds,-23.8064,-64.7876,Posada del Sol
36,San Javier,ES,81.63,clear sky,37.8063,-0.8374,Hotel Mar Menor
37,Uruacu,BR,95.94,few clouds,-14.5247,-49.1408,Cassius Hotel
38,Sao Filipe,CV,79.09,broken clouds,14.8961,-24.4956,Hotel Xaguate
39,Banda Aceh,ID,78.78,overcast clouds,5.5577,95.3222,Sulthan Hotel International
40,Lorengau,PG,78.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
41,Fortuna,US,61.93,broken clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
42,San Ramon,US,78.24,clear sky,37.7799,-121.978,San Ramon Marriott
45,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
51,Kapaa,US,75.52,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
56,Maldonado,UY,61.99,scattered clouds,-34.6667,-54.9167,La Cimarrona
57,Bethel,US,66.07,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
58,Alofi,NU,73.29,broken clouds,-19.0595,-169.9187,Taloa Heights
61,Arak,IR,68.38,few clouds,34.0917,49.6892,خانه سازمانهای غیر دولتی استان مرکزی
64,Quatre Cocos,MU,73.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
65,Vanimo,PG,76.82,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
69,Nola,IT,75.65,clear sky,40.922,14.5329,Villa Minieri Eventi
72,Madras,IN,84.18,scattered clouds,13.0878,80.2785,City home
73,Yulara,AU,67.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
74,Najran,SA,84.85,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
