City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,59.9,79,98,4.92,overcast clouds
1,Rikitea,PF,-23.1203,-134.9692,73.09,73,6,19.01,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,44.71,53,75,24.16,light rain
3,New Norfolk,AU,-42.7826,147.0587,55.76,81,100,1.92,light rain
4,Mayumba,GA,-3.432,10.6554,76.46,84,98,7.78,overcast clouds
5,San Patricio,US,28.017,-97.5169,78.89,79,100,9.08,moderate rain
6,Mataura,NZ,-46.1927,168.8643,46.47,98,100,2.15,overcast clouds
7,Narsaq,GL,60.9167,-46.05,44.82,34,2,1.54,clear sky
8,Ushuaia,AR,-54.8,-68.3,37.06,87,75,8.05,light rain
9,Puerto Ayora,EC,-0.7393,-90.3518,78.76,82,88,10.4,overcast clouds
10,Namibe,AO,-15.1961,12.1522,64.69,74,16,12.68,few clouds
11,East London,ZA,-33.0153,27.9116,63.54,94,75,16.11,light rain
12,Busselton,AU,-33.65,115.3333,49.08,77,31,11.63,scattered clouds
13,Yellowknife,CA,62.456,-114.3525,47.41,100,98,4.0,overcast clouds
14,Half Moon Bay,US,37.4636,-122.4286,80.92,64,1,0.0,clear sky
15,Faanui,PF,-16.4833,-151.75,79.12,70,74,18.23,broken clouds
16,Bluff,NZ,-46.6,168.3333,46.8,83,100,16.42,light rain
17,Avarua,CK,-21.2078,-159.775,75.25,83,93,9.22,overcast clouds
18,Melilla,ES,35.2937,-2.9383,77.2,73,20,4.61,few clouds
19,Kamenka,RU,51.3223,42.7678,49.77,65,99,4.12,overcast clouds
20,Alice Springs,AU,-23.7,133.8833,62.15,27,0,4.61,clear sky
21,Albany,US,42.6001,-73.9662,63.3,58,3,3.0,clear sky
22,Sal Rei,CV,16.1833,-22.9167,84.4,61,20,13.8,few clouds
23,Kruisfontein,ZA,-34.0033,24.7314,58.89,87,40,10.74,light rain
24,Victoria,HK,22.2855,114.1577,85.96,81,1,5.01,light rain
25,Ishigaki,JP,24.3448,124.1572,81.64,62,10,9.08,clear sky
26,Matay,EG,28.419,30.7792,82.36,30,0,11.5,clear sky
27,Mar Del Plata,AR,-38.0023,-57.5575,62.62,54,0,11.01,clear sky
28,Atuona,PF,-9.8,-139.0333,78.06,71,67,21.56,broken clouds
29,Port Alfred,ZA,-33.5906,26.891,64.8,82,52,12.08,light rain
30,Severo-Kurilsk,RU,50.6789,156.125,49.73,97,100,13.29,overcast clouds
31,Lagoa,PT,39.05,-27.9833,71.4,86,70,14.05,broken clouds
32,Vaini,TO,-21.2,-175.2,73.56,88,40,10.36,scattered clouds
33,Libertador General San Martin,AR,-23.8064,-64.7876,87.53,40,69,3.91,broken clouds
34,Keighley,GB,53.8679,-1.9066,55.58,85,40,3.0,scattered clouds
35,Fairbanks,US,64.8378,-147.7164,31.3,82,90,3.44,overcast clouds
36,San Javier,ES,37.8063,-0.8374,81.63,67,0,3.0,clear sky
37,Uruacu,BR,-14.5247,-49.1408,95.94,28,24,4.79,few clouds
38,Sao Filipe,CV,14.8961,-24.4956,79.09,74,65,4.92,broken clouds
39,Banda Aceh,ID,5.5577,95.3222,78.78,73,100,5.7,overcast clouds
40,Lorengau,PG,-2.0226,147.2712,78.64,79,100,5.82,overcast clouds
41,Fortuna,US,40.5982,-124.1573,61.93,62,75,1.01,broken clouds
42,San Ramon,US,37.7799,-121.978,78.24,37,1,1.01,clear sky
43,Hobart,AU,-42.8794,147.3294,56.12,98,90,4.61,moderate rain
44,Deputatskiy,RU,69.3,139.9,8.13,91,15,1.86,few clouds
45,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,10.36,scattered clouds
46,Wangou,CN,42.0623,126.9127,41.67,84,43,2.33,scattered clouds
47,Saskylakh,RU,71.9167,114.0833,14.47,99,86,3.87,overcast clouds
48,Bredasdorp,ZA,-34.5322,20.0403,56.28,87,96,6.22,overcast clouds
49,Sobolevo,RU,54.4299,31.8996,44.17,79,27,4.94,scattered clouds
50,Longyearbyen,SJ,78.2186,15.6401,35.44,87,75,3.44,broken clouds
